,year,manufacturer,model,avg_rating,count,id
636,2015,buick,lacrosse hybrid,4.75,4,636
637,1997,buick,lesabre,4.216666667,30,637
638,1998,buick,lesabre,4.046428571,35,638
639,1999,buick,lesabre,4.230263158,19,639
640,2000,buick,lesabre,4.33254717,53,640
641,2001,buick,lesabre,4.21474359,39,641
642,2002,buick,lesabre,4.355769231,52,642
643,2003,buick,lesabre,4.364130435,46,643
644,2004,buick,lesabre,4.481132075,53,644
645,2005,buick,lesabre,4.465909091,44,645
646,2006,buick,lucerne,4.335714286,70,646
647,2007,buick,lucerne,4.417857143,70,647
648,2008,buick,lucerne,4.31875,60,648
649,2009,buick,lucerne,4.5,13,649
650,2010,buick,lucerne,3.458333333,9,650
651,2011,buick,lucerne,4,7,651
652,1997,buick,park,3.975806452,31,652
653,1998,buick,park,4.548611111,18,653
654,1999,buick,park,4.774038462,26,654
655,2000,buick,park,4.821428571,21,655
656,2001,buick,park,4.238636364,11,656
657,2002,buick,park,4.9625,10,657
658,2003,buick,park,4.345238095,21,658
659,2004,buick,park,4.428571429,14,659
660,2005,buick,park,4.639705882,17,660
661,2004,buick,rainier,4.497916667,60,661
